--- Configuración Actual ---
Paso: 0.200000
Gamma: 0.000000
Parada: 0.100000
Iteraciones: 100000
CapasDesde: 2
CapasHasta: 5
Repeticiones: 1
Intervalo: 10000
Batch: 100
MultiplicadorProfunda: 0.700000
Tarjeta: NVIDIA GeForce RTX 3090 Ti
----------------------------
Dimensiones Datos
trainx: 2x1598 
trainy: 1x1598 
test_x: 2x400 


--- Test Angosta 2.0 ---
Iteración 10000
Costo: 0.216882
Iteración 20000
Costo: 0.200177
Iteración 30000
Costo: 0.187850
Iteración 40000
Costo: 0.169549
Iteración 50000
Costo: 0.120933
Iteración 60000
Costo: 0.071693
Iteración 70000
Costo: 0.056817
Iteración 80000
Costo: 0.049099
Iteración 90000
Costo: 0.044277

Arquitectura: _2_6_1_
Semilla: 1788087125
Segundos: 49
NIteraciones: 100000

Costo_train: 0.040907
Precision_train: 0.913413
Recall_train: 0.996296
F1_train: 0.953056

Costo_test: 0.039597
Precision_test: 0.912409
Recall_test: 0.992063
F1_test: 0.950570
 

Arquitectura: _2_6_1_
Semilla: 1788087125
Segundos: 49
NIteraciones: 100000

Costo_train: 0.044554
Precision_train: 0.903879
Recall_train: 0.992593
F1_train: 0.946161

Costo_test: 0.044587
Precision_test: 0.863014
Recall_test: 1.000000
F1_test: 0.926471
 

Arquitectura: _2_6_1_
Semilla: 1788087125
Segundos: 49
NIteraciones: 100000

Costo_train: 0.064807
Precision_train: 0.890728
Recall_train: 0.996296
F1_train: 0.940559

Costo_test: 0.066846
Precision_test: 0.879433
Recall_test: 0.984127
F1_test: 0.928839
 

Arquitectura: _2_6_1_
Semilla: 1788087125
Segundos: 49
NIteraciones: 100000

Costo_train: 0.044984
Precision_train: 0.910321
Recall_train: 0.996296
F1_train: 0.951370

Costo_test: 0.043361
Precision_test: 0.905797
Recall_test: 0.992063
F1_test: 0.946970
 

Arquitectura: _2_6_1_
Semilla: 1788087125
Segundos: 49
NIteraciones: 100000

Costo_train: 0.046878
Precision_train: 0.912014
Recall_train: 0.998148
F1_train: 0.953139

Costo_test: 0.049673
Precision_test: 0.892086
Recall_test: 0.984127
